transaction_id,transaction_date,customer_id,customer_name,service,amount_myr,status,data_team
TX0056,2026-03-09,C003,Michelle Tan,Spa Treatment,350.00,completed,Finance
TX0057,2026-04-12,C003,Michelle Tan,Spa Treatment,350.00,completed,Finance
TX0058,2026-05-15,C003,Michelle Tan,Basic Groom,350.00,completed,Finance
TX0059,2026-06-18,C003,Michelle Tan,Basic Groom,350.00,completed,Finance
TX0060,2026-07-21,C003,Michelle Tan,Basic Groom,350.00,completed,Finance
TX0061,2026-08-24,C003,Michelle Tan,Basic Groom,320.00,completed,Finance
TX0062,2026-01-01,C004,Jason Wong,Boarding,350.00,completed,Finance
TX0063,2026-02-04,C004,Jason Wong,Boarding,350.00,completed,Finance
TX0064,2026-03-07,C004,Jason Wong,Boarding,350.00,completed,Finance
TX0065,2026-04-10,C004,Jason Wong,Boarding,350.00,completed,Finance
TX0066,2026-05-13,C004,Jason Wong,Boarding,350.00,completed,Finance
TX0067,2026-06-16,C004,Jason Wong,Boarding,350.00,completed,Finance
TX0068,2026-07-19,C004,Jason Wong,Boarding,350.00,completed,Finance
TX0069,2026-08-22,C004,Jason Wong,Full Groom,350.00,completed,Finance
TX0070,2026-09-25,C004,Jason Wong,Full Groom,350.00,completed,Finance
TX0071,2026-01-03,C004,Jason Wong,Full Groom,350.00,completed,Finance
TX0072,2026-02-06,C004,Jason Wong,Full Groom,350.00,completed,Finance
TX0073,2026-03-09,C004,Jason Wong,Basic Groom,350.00,completed,Finance
TX0074,2026-04-12,C004,Jason Wong,Basic Groom,350.00,completed,Finance
TX0075,2026-05-15,C004,Jason Wong,Basic Groom,440.00,completed,Finance
TX9001,2026-09-02,C001,Sarah Lim,Boarding,900.00,refunded,Finance
TX9002,2026-08-13,C005,David Lee,Full Groom,1200.00,voided,Finance
